dblp_pid,orcid
122/6195,
122/6220,
122/6252,
122/6257,
122/6258,
122/6280,
122/6287,
122/6309,
122/6365,
122/6414,0000-0001-8553-1377
122/6878,
122/7328,
122/7357,
122/7385,
122/7408,
122/7972,
122/8131,
122/8256,
122/8668,
122/8675,
122/8701,0000-0003-4633-7023
122/8715,
122/8721,0000-0002-3187-518X
122/8728,0000-0001-7729-4666
122/8732,
122/8733,
122/8763,
122/8815-1,0000-0003-0776-361X
122/8815-2,0000-0001-7773-3032
122/9141,
122/9375,
122/9439,
122/9501,
122/9830,0000-0003-1071-0981
122/9933,0009-0001-2293-0773
123/0205,
123/0477-2,0000-0002-7069-4728
123/0612,0000-0001-6629-170X
123/0773,
123/0773-1,0000-0001-7137-7719
123/0877,0000-0002-6797-5617
123/0905-2,
123/0960,0000-0002-3088-1481
123/2117-1,0000-0001-7855-2778
123/2241,
123/2365-1,0000-0002-7661-3917
123/2397,
123/2447,
123/2543,
123/2549,
123/2549-13,0000-0003-1274-5563
123/2549-3,
123/2817,
123/2869,0000-0003-4831-9451
123/2874,
123/2906,
123/2910,
123/2931,
123/2935,
123/2942,
123/2954,
123/3042,
123/3304,
123/3618,0000-0001-8759-9324
123/3757,
123/3775,
123/3786,
123/3795,
123/3801,
123/3920-2,0000-0002-2894-7226
123/4373,
123/4421,0000-0002-5484-1388
123/4433,
123/4487,
123/4557,
123/4652,
123/4737,
123/4808,
123/4898,
123/4935,
123/4948,
123/4950,
123/5095,
123/5098,
123/5099,
123/5110,0000-0002-4675-7055
123/5171,
123/5181,
123/5184,
123/5244,
123/5256,
123/5266,
123/5522-2,0009-0008-4264-4281
123/5628,
123/5728,0000-0003-0482-4296
123/5761,
123/5825,
123/5999,
123/6103,
123/6219,0000-0001-9529-9399
123/6369,
123/6416,
123/6424-3,
123/6460,
123/6658,0000-0001-9726-4501
123/6690,
123/6759,0000-0002-1583-3692
123/6900,
123/6949-5,
123/6991,
123/7064,
123/7086,
123/7092,
123/7102,
123/7110,
123/7149,
123/7222,
123/7416,
123/7595,
123/7707,0000-0002-5227-3575
123/7774,
123/7803,
123/8228,
123/9163,
123/9181,
123/9187,
123/9213,
123/9222,
123/9257-1,0000-0002-6045-1626
123/9573,
123/9574,
123/9691,
123/9753,
123/9786,
123/9805,
123/9849,0000-0002-2522-6394
124/0016,
124/0220,0000-0002-7258-7256
124/0333,
124/0349,
124/0513,
124/0550,
124/0717,
124/1225,
124/1315-1,0000-0002-4041-4211
124/1318,
124/1541,
124/1973,
124/1993-2,0009-0000-6488-9695
124/2047,
124/2061,
124/2075-4,0000-0002-4703-4641
124/2136,0000-0002-4238-8985
124/2199,
124/2206,0000-0002-1480-9594
124/2354,
124/2375,
124/2384,
124/2493,
124/2557,
124/2698,
124/2749,0000-0001-5840-8760
124/2750,
124/2773,
124/2780,
124/2783,0000-0003-2755-8744
124/2785,
124/2883,
124/2955,
124/3009,
124/3059,
124/3069,
124/3091,
124/3110,
124/3214,
124/3241,
124/3252,
124/3256,0000-0003-0120-3750
124/3343,
124/3768-2,
124/5187,
124/5261,
124/5261-4,0000-0002-3105-8569
124/5726-2,0000-0002-2466-283X
124/5773,
124/5843,
124/5859,
124/5875,
124/5887,
124/5973,
124/6222,
124/6255,
124/6264,
124/6291,
124/6337,0000-0002-0696-4914
124/6563,
124/6628,
124/6664,0000-0002-8462-152X
124/6881,
124/6895,
124/7067,
124/7080,
124/7095,
124/7158,0000-0003-0301-0872
124/7164,
124/7179,0000-0002-9732-4313
124/7209,
124/7243-1,
124/7519,
124/8465,
124/8920,0000-0003-0549-1446
124/8921,
124/8935,
124/8949,
124/8971,
124/8980,
124/9046,
124/9139,0000-0003-2433-5983
124/9178,
124/9185,
124/9197,
124/9204,
124/9262,
124/9273,
124/9326,
124/9335-4,
124/9372,0000-0003-4186-3788
124/9704,
125/0204,
125/0294,
125/0337,
125/0358,
125/0429-1,0000-0002-6220-029X
125/0591,
125/0630,0000-0001-7856-8729
125/0678-2,0009-0003-8867-7285
125/0945,
125/0980,
125/1589,0000-0002-2951-9207
125/1895,
125/1989,
125/2113,
125/2114,
125/2131,
125/2132,0009-0003-4124-1687
125/2134,0000-0001-8254-3268
125/2145,
125/2163,
125/2167,
125/2192,
125/2210,0000-0001-6110-1583
125/2244,
125/2282,
125/2298,
125/2311,
125/2316,
125/2319,
125/2319-2,0000-0001-6080-3559
125/2326,0000-0003-2675-7610
125/2327,
125/2333,
125/2340,0000-0002-8408-9633
125/2564,
125/2836,0000-0001-9543-1572
125/2838,
125/2864,
125/2894,
125/2900,
125/2903,
125/2907,
125/2925,0000-0002-2336-9826
125/2926,
125/2982,
125/3197,
125/3214,0000-0002-5287-3626
125/3221-1,0000-0002-5108-2128
125/3230,
125/3239,
125/3386,
125/3431,
125/3525,
125/3578,0000-0002-0011-5137
125/3654,
125/3654-2,
125/3716,
125/4062,0000-0002-9772-1095
125/4088,
125/4173,0000-0001-5781-8848
125/4199,0000-0002-0629-3006
125/4359,0000-0001-8545-2062
125/4554,0000-0003-3540-5019
125/4613,
125/4792,
125/5032,
125/5270,
125/5350,
125/5369,
125/5370,0000-0002-2678-1330
125/5383,
125/5413,
125/5587,
125/5587-6,0000-0002-0328-987X
125/5604-1,0000-0002-6237-7028
125/5619,0000-0002-7038-5896
125/5632,
125/5655,0000-0001-6054-2133
125/5661,
125/6067,0000-0002-4805-3780
125/6361,
125/6459,
125/6476-1,0000-0002-2115-8670
125/6476-2,0000-0001-9190-1717
125/6699,0000-0001-7733-2431
125/6747-1,
125/6980,
125/7007,
125/7346,
125/7460,
125/7491,
125/7630,
125/7726,0000-0003-4314-0081
125/7744,
125/7922,
125/7988,
125/8059,0000-0002-4992-674X
125/8141,
125/8141-28,0009-0001-9029-5812
125/8141-7,0009-0005-1530-612X
125/8189,
125/8189-118,0000-0001-5838-9846
125/8189-122,
125/8189-123,
125/8189-22,0000-0002-7334-0490
125/8189-91,
125/8501,0000-0001-9853-0621
125/8515,
125/8532,0000-0001-7584-8768
125/8644,
125/8778,
125/8879,
125/9055,
125/9140,
125/9302,
125/9394,
125/9435-1,
125/9700-1,0000-0002-6664-1172
125/9755,
125/9849,
125/9915,
126/0507-1,0000-0002-6450-8108
126/0665,
126/0675,
126/0708,
126/0713,
126/0718,
126/0860,
126/0861,
126/0900,0000-0003-3435-6358
126/0918,
126/0960,
126/0982,
126/0986,
126/1028,0000-0002-1394-6642
126/1033,
126/1043,
126/1066,
126/1070,
126/1083,
126/1129,
126/1131,
126/1233-1,0000-0001-6835-5607
126/1547,
126/1605,
126/1690,
126/1692,
126/1706,
126/1709,
126/1718,0000-0002-6456-7183
126/1728,
126/1729,
126/1735,
126/1754,
126/1760,
126/1768,0000-0002-7004-4418
126/1777,0000-0003-1114-6040
126/1779,
126/1783,
126/1787,
126/1789,
126/1794,0000-0002-2200-901X
126/1802,
126/1802-1,0000-0002-2865-5610
126/1984,
126/2019,
126/2083,0000-0001-7172-1997
126/2085,
126/2209,0000-0002-3204-2884
126/2210-2,0000-0002-3533-9405
126/2325,0000-0002-0629-2038
126/2333,
126/2338-1,0000-0003-4184-0754
126/2361,
126/2373-1,0000-0003-3636-0035
126/2543,
126/2962-8,0000-0002-3437-1470
126/2963,
126/3004-3,
126/3067,
126/3420,0000-0001-5481-653X
126/3480,
126/3493,0000-0002-4380-6325
126/3532,
126/3589-3,0000-0001-7674-9382
126/3801,
126/3959,0000-0002-9401-4918
126/4016,0000-0002-7523-4827
126/4222,
126/4298,
126/4384,
126/4435,0000-0002-7095-1018
126/4451,
126/4456,0000-0001-7645-252X
126/4457,0000-0002-4805-0926
126/4479,
126/4508,
126/4540,0000-0002-7665-7434
126/4567-1,0000-0001-7933-9813
126/4567-3,0000-0001-6876-3117
126/4582-3,0000-0002-3036-0344
126/4651,0000-0002-4889-6833
126/4720,
126/4745,0009-0001-9515-5456
126/4768,
126/4778,0000-0002-0329-7458
126/4795,
126/4852,
126/4861,
126/4933,0000-0002-5855-8045
126/4947,
126/4991,
126/4991-3,0000-0001-8247-3159
126/4999,0000-0003-1801-1499
126/5025,0000-0002-8290-7997
126/5032,
126/5045,
126/5064,
126/5098,
126/5109,
126/5116,0000-0002-4750-3305
126/5212,0000-0002-1893-6259
126/5222,
126/5223,0000-0002-8755-3892
126/5240,
126/5240-1,0009-0004-3255-0901
126/5382,
126/5563,
126/6005,
126/6014,
126/6056-7,
126/6084,
126/6263,
126/6273,
126/6311,0000-0001-8912-3063
126/6361,
126/6412,
126/6597,
126/6785,
126/6794,
126/6822,
126/6873,
126/6986,
126/7189-2,
126/7519,0000-0003-4289-261X
126/7726-3,0000-0003-0700-2335
126/7789,
126/7799,
126/7811-1,0000-0002-1350-7711
126/7818,
126/7826-1,0009-0007-6426-3749
126/7845,
126/7863,0000-0003-2414-0051
126/7868,0000-0002-5156-6616
126/8027,
126/8042,
126/8104,
126/8137-1,0000-0002-7056-8748
126/8149,
126/8270,
126/8610,
126/8668,0000-0002-4504-0212
126/8722,
126/8982,
126/8982-1,0000-0001-8586-3048
126/9406,
126/9673,0000-0002-2739-0454
126/9778,
126/9805,
127/0118,
127/0168,
127/0174,
127/0183,
127/0185,
127/0193,
127/0214,
127/0228,
127/0230,0000-0001-7582-1653
127/0252,
127/0252-1,
127/0253,0000-0002-7657-4305
127/0257,
127/0273,0000-0001-6335-1340
127/0365,
127/0414,
127/0477,0000-0001-7051-841X
127/0574,
127/0652,
127/0713,0000-0002-1288-6502
127/0727,
127/0779,
127/0793,
127/0871,
127/1112,
127/1181,
127/1203,
127/1214,0000-0001-9519-2487
127/1234,
127/1303,
127/1347,
127/1483,
127/1756,0000-0003-4671-233X
127/1796-1,
127/1809,0000-0001-8608-1128
127/1811,
127/1927,
127/1937,0000-0001-9756-7238
127/1965,
127/2089,
127/2540-2,
127/2830,
127/2886,
127/2926,
127/2956,
127/2970-1,0009-0002-6749-5442
127/3055,
127/3089,
127/3128,0000-0003-3492-3690
127/3163,
127/3326,
127/3421,0000-0002-9062-6183
127/3611,
127/3954,
127/4819,
127/4881,0000-0002-9269-1157
127/4983,
127/5013,
127/5437,
127/5560,
127/6065,
127/6132,
127/6140,
127/6394,
127/6396,
127/6433,
127/6503,0000-0002-8475-6600
127/6532,
127/6620,0009-0001-8617-3193
127/6624,
127/6874-1,0000-0001-9136-558X
127/6914,
127/6939,0000-0002-3459-5044
127/6999,0000-0002-4204-6096
127/7002,0000-0003-3269-7263
127/7300,
127/7336,
127/7411,
127/7418,
127/7421,
127/7426,0000-0001-8936-0229
127/7489,
127/7497,
127/7542,
127/7561,
127/7586,
127/7587,
127/7641,0000-0003-2584-8131
127/7679,
127/7715,
127/7890,
127/7948,
127/8689,
127/8709,
127/9041,0000-0002-4183-6926
127/9046,
127/9100-3,0000-0001-9173-2984
127/9202,
127/9333,
127/9475,0000-0002-3773-4871
127/9492,
127/9505,
127/9505-2,0009-0003-6062-3015
127/9591,0000-0002-8716-5793
127/9702,
127/9829-38,0009-0000-6617-0369
127/9966,
128/0258,0000-0002-9542-9525
128/0294,
128/0379,
128/0409,
128/0441,
128/0456,
128/0543,
128/0605,
128/0654,
128/0927,
128/0945,
128/1030,
128/1234-5,0000-0002-0094-9692
128/1385,
128/1455,
128/1625,
128/1821,
128/1850,
128/2055,
128/2249,
128/2249-4,0000-0001-8058-8323
128/2509,
128/2534,
128/2618,
128/2619,
128/2639,
128/2643,
128/2982,
128/2991,
128/3089,
128/3352,0000-0003-0481-3298
128/3380-2,0000-0003-1932-821X
128/3542,
128/3601,
128/3612,
128/3628,
128/4106,
128/4140,
128/4282,
128/4478,
128/4619,
128/4650,
128/4703,
128/4806,
128/4897-2,
128/4900,0000-0003-4311-9071
128/5091,
128/5278,
128/5278-2,0009-0003-4158-4380
128/5341,0000-0003-1221-8253
128/5343,
128/5354,
128/5374,
128/5453,
128/5511,0000-0001-7381-2630
128/5528,
128/5547,
128/5713,
128/5757,
128/5836,
128/5846,
128/5861,
128/5936,0000-0001-8385-9598
128/6094,
128/6310,
128/6689,
128/6741,0000-0001-6442-3705
128/6801,
128/6848,
128/6926,
128/6972-1,0000-0003-2817-6991
128/7027,
128/7105,
128/7511,
128/7566,
128/7669,
128/7827,
128/7851,
128/7869,0000-0001-8105-4737
128/7890,
128/7894,
128/7935,
128/8032,
128/8084,
128/8098,
128/8266,
128/8266-2,0000-0002-3637-2936
128/8266-7,
128/8459,
128/9201,
128/9270,
128/9277,
128/9346,
128/9370,
128/9587,
128/9697,
129/0452,
129/0862,
129/0933-1,0000-0003-3130-4253
129/0954-1,0000-0002-9157-6050
129/0969-2,0000-0003-3402-5786
129/0971-8,
129/0978,0000-0002-7202-2837
129/1057,
129/1065,0000-0001-5206-1225
129/1129,
129/1155,
129/1217,
129/1254,0000-0001-6897-5937
129/1262,
129/1270,
129/1281,0000-0001-6426-365X
129/1316,
129/1368-2,
129/1386,0000-0002-6928-449X
129/1428,0009-0002-5372-4849
129/1433,
129/1503,
129/1542,
129/1561,
129/1580,
129/1623,0000-0001-9423-5270
129/1633,
129/1650,
129/1654,
129/1698,0000-0002-4372-9745
129/1701,0000-0002-7989-6297
129/1981,
129/2041,
129/2046,0000-0002-8230-9065
129/2059,0000-0002-2541-8767
129/2261,0000-0002-6425-5403
129/2286,0000-0002-6517-682X
129/2345,
129/2357,
129/2628,
129/2635,
129/2644,
129/2661-1,0000-0003-3748-4160
129/3026,
129/3356,
129/3379,
129/3978,0000-0001-7217-864X
129/3987,
129/4043,0000-0002-1442-1530
129/4379,
129/4392,
129/4750,0000-0003-3430-6625
129/4841,0000-0002-8767-5603
129/4851-2,0000-0003-3728-6914
129/4931,0000-0002-6627-4026
129/5092,
129/5195,
129/5233,
129/5337,
129/5436,
129/5488,
129/5607,0000-0003-3552-0316
129/5624,0000-0003-1454-7587
129/5907,
129/6231,0000-0003-2734-4690
129/6338,
129/6623,0000-0003-4887-2038
129/6807,
129/7096,
129/7271,
129/7505,
129/7613,0000-0002-1218-4009
129/7647,0000-0002-8715-8964
129/7659,
129/7659-1,0000-0002-5856-1172
129/7815,
129/7954,
129/8132,
129/8146,0000-0001-7810-9071
129/8153,
129/8195-4,0009-0003-5583-6454
129/8369,0000-0001-7283-5670
129/8516,0000-0002-9980-3617
129/8702,
129/9004,
129/9107,
129/9109,0000-0003-0287-4564
129/9110,0000-0003-3888-7391
129/9138,0000-0002-7362-9665
129/9140,
129/9241,
129/9267,
129/9380,
129/9436-3,0000-0001-9550-9237
129/9444,0000-0002-4778-5584
129/9472,
129/9492,
129/9499,0000-0001-5458-8645
129/9500,
129/9854,
13/10009,
13/10121,
13/10177,
13/102,
13/10259,0000-0002-1194-7385
13/10345,
13/10345-1,0009-0006-9548-2330
13/10359,
13/10440-6,
13/10440-8,
13/10505-3,0000-0003-3459-0662
13/10542,
13/10546,
13/10565,
13/10650,
13/10814,0000-0002-6884-7158
13/11028,0000-0002-1988-8180
13/1103,
13/11107,
13/11207,
13/1124,
13/11273,
13/11370,0000-0002-5342-1330
13/11431,
13/1151-1,0000-0001-8590-3767
13/1193,
13/1206-1,0000-0003-0403-1923
13/1206-3,0000-0001-6906-6735
13/1402,
13/1416,
13/1439-1,0000-0003-3799-8225
13/1444,
13/1444-3,
13/1446,
13/1467,
13/1472,
13/1472-3,0000-0003-4092-2643
13/1515,
13/1520-11,0000-0002-5791-3674
13/1520-19,0000-0003-0026-9096
13/1520-8,0000-0002-8600-2570
13/154,
13/1574-1,0000-0003-3638-5566
13/1589,
13/1611,0000-0003-1379-2185
13/1653,
13/1672,0000-0002-2986-2574
13/1739,
13/1779,
13/1779-5,0000-0002-7084-9101
13/1824,
13/1864-4,0000-0002-8008-064X
13/1864-9,0000-0002-3750-0696
13/1892,
13/1898,
13/1898-15,0000-0002-2694-1023
13/1898-21,0000-0002-5176-9202
13/1898-34,0000-0002-0267-3749
13/1898-4,0000-0001-7577-229X
13/1898-65,0000-0002-5625-2966
13/1898-68,0000-0001-8655-1134
13/1898-71,0000-0002-4717-2622
13/1972,
13/2004,
13/2139,
13/2150,0000-0003-1137-1344
13/2167,0000-0002-6780-3217
13/2400,
13/2440,
13/2476,
13/251,
13/2526-1,0000-0002-7726-7841
13/2526-2,
13/2531,
13/2548,
13/2574,
13/2617,
13/2626,
13/263,
13/2645,
13/2665,
13/2690,
13/2692,
13/2692-1,0000-0002-5888-6735
13/2692-24,0000-0001-9465-8142
13/2692-5,0000-0001-9752-7201
13/2692-8,0000-0003-4987-6129
13/2736,0000-0001-9738-2487
13/2755,
13/2794,
13/2839,
13/2913-1,0000-0003-0104-2731
13/2986,0000-0003-0107-7029
13/2999,
13/3015,
13/3073-1,0000-0001-7658-3845
13/310,0000-0003-3230-5338
13/3109,
13/3186,0000-0001-7791-4829
13/322,
13/3315,0000-0003-4098-588X
13/3318,
13/3359,0000-0003-1236-3143
13/3438,
13/3479,
13/3479-10,0000-0002-8561-6386
13/3479-16,0000-0001-5927-571X
13/3479-2,0000-0002-2605-749X
13/3479-21,0000-0001-6426-6682
13/3479-26,0000-0002-5935-3877
13/3479-3,0000-0003-0349-6577
13/351,
13/351-3,0000-0002-8798-2443
13/3540,
13/3565,0000-0002-1210-2173
13/3568-1,0000-0003-0621-6323
13/3585,0000-0002-6482-4768
13/3601,
13/3704,
13/3715,0000-0002-7626-0162
13/3780,
13/3788-3,
13/3788-4,0000-0003-4883-201X
13/3793,
13/3918,
13/3918-2,
13/395,
13/3953-2,0000-0002-1669-0662
13/3953-25,0000-0003-0083-5326
13/3953-6,0000-0001-9108-6767
13/3957-1,0000-0002-6690-8332
13/3992-1,0000-0002-3433-8435
13/4208,
13/4208-8,0009-0003-6109-2025
13/4208-9,0000-0003-4819-2585
13/422,0000-0001-9056-1538
13/4242,
13/4242-2,0000-0001-6777-2951
13/4446,0000-0002-8100-506X
13/4526-1,0000-0002-9009-2775
13/4576-2,0009-0006-0600-4477
13/4646,
13/4660,0000-0002-9243-6885
13/4682,
13/4682-16,0000-0002-4601-0779
13/4719,0000-0002-1509-9002
13/4741-1,0000-0002-6000-6936
13/486,
13/4911,
13/4938-1,0000-0003-3261-3533
13/4939,
13/4967-2,0009-0001-0651-370X
13/4984,
13/4992,0000-0002-6227-8951
13/5012,0000-0002-7245-7021
13/5044-1,
13/5168-1,0000-0002-0310-5778
13/5236-52,
13/5240,
13/5240-3,0000-0001-6878-7039
13/5289,0000-0002-5739-1618
13/5349,
13/5353,
13/5353-2,0000-0002-8994-431X
13/5366-6,
13/5407,
13/5407-1,0000-0002-1652-2466
13/5407-11,0009-0003-7489-4465
13/5407-9,0000-0003-1590-8276
13/5577,
13/558,
13/5606,
13/5641,
13/5641-1,0000-0001-6118-6505
13/5641-4,0000-0001-7474-8271
13/5771,0000-0003-0673-3566
13/5776,
13/5830,
13/5830-1,0000-0002-8246-177X
13/5856-10,0000-0003-0374-3101
13/5856-9,0000-0003-1548-2666
13/5858,0000-0003-0294-8287
13/5873,
13/5914,
13/5916,0000-0003-4029-9935
13/593,
13/5969-4,0000-0002-6588-3014
13/5969-9,0009-0005-5298-0543
13/5978,0000-0002-3836-8017
13/6125,
13/6225-2,0000-0003-2963-9556
13/6225-8,0000-0003-3539-9085
13/6256-1,
13/6335,
13/6380,
13/6441-6,0000-0003-1330-4532
13/6504-1,0000-0001-8198-1629
13/6525,0000-0003-4847-702X
13/6560,
13/6571,0000-0001-5241-0886
13/6763,
13/6769,
13/6769-15,0000-0003-4906-5828
13/6769-21,0000-0002-6005-4989
13/6769-33,
13/6769-60,0000-0002-7557-2965
13/6769-65,0009-0000-9627-8768
13/6794,
13/6920,0000-0002-9447-3399
13/6922-8,0000-0003-0915-7787
13/6965-2,0009-0000-6665-6406
13/7007,
13/7007-38,0000-0002-4657-4718
13/7007-39,0009-0008-6984-5104
13/7007-40,0000-0002-7456-2204
13/7007-5,0000-0003-3095-9776
13/7007-51,0000-0002-4514-3617
13/7050,
13/7050-2,0000-0002-5691-013X
13/7122,0000-0002-8774-6950
13/7215,0000-0001-5328-5351
13/7216,
13/7230,
13/7254,
13/7265,
13/7265-1,0000-0003-0147-2715
13/7265-2,0000-0003-0586-3748
13/7270,
13/7360,
13/7407,0000-0002-5931-4907
13/7489,0000-0001-5571-173X
13/7492,
13/7513,
13/7562,
13/7590,
13/7602,0000-0003-3025-1495
13/7672,
13/7739,
13/7763,
13/7916,
13/8041,
13/8050,0000-0001-6588-8520
13/8071,
13/8071-1,0009-0006-1397-085X
13/8155,
13/8237,
13/8388,
13/8412,0000-0002-6004-7770
13/8510,
13/8559,
13/8593-1,0000-0002-3208-4208
13/865,
13/8654,0000-0003-2247-3020
13/8659-4,0000-0001-6719-2287
13/8730,0009-0001-4821-1558
13/8735,
13/8760,0000-0002-6941-6931
13/8823,
13/905,0000-0003-2921-4283
13/911,
13/9299,
13/9348,
13/94,
13/9617,
13/9649,0000-0003-4178-5521
13/9673,0000-0002-7737-1200
13/9687-1,0000-0003-0883-2277
13/9925,
130/0102,
130/0123,
130/0201,
130/0287,0000-0003-3806-7369
130/0311,
130/0344,0000-0003-0193-7818
130/0347,
130/0350,
130/0370,
130/0377,
130/0388,0000-0001-5004-8991
130/0417,
130/0437,0000-0002-9426-2583
130/0445,
130/0447,
130/0453,
130/0470,
130/0512,
130/0595,0000-0002-2189-9153
130/0602,0000-0001-7870-6319
130/0612,
130/0620,
130/0628,
130/0818,
130/0903,
130/1013,
130/1013-2,0000-0001-8190-5087
130/1022,
130/1287,0000-0002-7333-9860
130/1339,
130/1339-1,0000-0002-4265-5836
130/1359,
130/1371,
130/1384,
130/1678,
130/1678-1,0000-0002-0684-607X
130/1811,
130/1812,0000-0003-2692-0801
130/1813,
130/1873,
130/1873-1,0000-0001-6897-4512
130/1874,
130/1878,
130/1906,0000-0003-3649-2433
130/2298,
130/2407,0000-0002-9193-1841
130/2463-1,0000-0002-1837-1454
130/2468,
130/2863,
130/2932,
130/3233,
130/3575,
130/3626,0000-0003-0458-0092
130/3822,
130/3856,
130/3941-1,
130/3995,
130/3998,
130/4010,
130/4064,
130/4853,0000-0003-3893-2439
130/5077,
130/5109,
130/5386,
130/5400,
130/5404,
130/5411-2,0000-0002-8731-7099
130/5642,
130/5696,0000-0003-0452-2343
130/5772,0000-0002-9471-0585
130/5774,
130/5815,
130/5837-1,
130/5865,
130/5975,
130/5975-1,
130/6210,
130/6222,
130/6268,
130/6308-2,0000-0003-2423-8972
130/6398,
130/6419,
130/6422,
130/6566,
130/6584,
130/6602,
130/6621,
130/6786,
130/6820-4,0009-0007-0512-6031
130/6903,
130/7001,
130/7286,0000-0002-3857-7927
130/7297,
130/7337,
130/7385,
130/7624,
130/7625,
130/7673,
130/7674,
130/7700,
130/7707-1,0000-0001-5934-6493
130/7787,
130/7814,
130/7882,
130/8167,
130/8190,0000-0002-9546-1488
130/8299,0000-0003-0385-8988
130/8341,0000-0003-1610-9599
130/8348-1,0000-0002-1558-6169
130/8465,
130/8473,
130/8880,
130/9053-1,
130/9063,0000-0002-9922-6370
130/9153,
130/9170,
130/9539,
130/9795,
130/9796,
130/9964,0000-0002-2705-1479
130/9973,
131/0019,0000-0002-5646-2963
131/0141,
131/0227,
131/0639,
131/0995,
131/1124,
131/1124-1,
131/1300,0000-0003-2930-4510
131/1378,0000-0002-8257-9516
131/1381,
131/1387-1,0009-0004-7261-1705
131/1708,
131/1783,0000-0001-6298-0874
131/1965,
131/2044,
131/2058,
131/2110,0000-0002-6439-1333
131/2170,
131/2694,
131/2706,
131/2745,
131/2863,
131/2924,
131/2926,
131/2938,
131/3056,
131/3147,0000-0002-1621-325X
131/3352,
131/3529,
131/3921,
131/4047,
131/4074,
131/4126,
131/4166,
131/4202,
131/4309,
131/4367,
131/4389,
131/4721,
131/4754,
131/4767,
131/4775-1,0000-0002-4734-4164
131/4868,0000-0001-9084-8520
131/5106,
131/5131,0000-0002-5660-5493
131/5185,
131/5247,
131/5264,
131/5343,
131/5358,
131/5622,
131/5648,
131/5721,0000-0001-5272-2265
131/6283,
131/6283-1,
131/6283-3,
131/6291,
131/6314,
131/6330-2,0009-0007-8031-661X
131/6487,
131/6494,
131/6529-1,0000-0003-1892-6971
131/6545,
131/6555,0000-0001-9793-662X
131/6572,0000-0002-0022-0906
131/6609,
131/6619,
131/6638,
131/6644,
131/6679,0000-0003-4321-2575
131/6682,0000-0001-5779-3986
131/6683,
131/6693,
131/6694,0000-0003-2296-9296
131/6700,
131/6710,
131/6710-2,0000-0002-8195-9349
131/6710-3,
131/6726,
131/6731,0000-0002-8650-0991
131/6755,
131/6764,
131/6765,
131/6819,
131/6847,
131/6853,0000-0002-1686-1994
131/6855,0000-0001-8205-6718
131/6865,
131/6876,
131/6883,
131/6939,
131/7006,
131/7161,
131/7234,
131/7234-1,0000-0002-6148-8738
131/7234-8,0009-0006-6034-4069
131/7393,0000-0002-7114-8315
131/7655,
131/7756,
131/8041-3,
131/8149,
131/8294,
131/8302,
131/8317,
131/8511,
131/8598-2,0000-0002-2241-711X
131/8848,
131/8900,
131/9168,
131/9175,
131/9399-2,
131/9490-1,0000-0002-2984-734X
131/9500,
131/9575,
131/9582,0000-0002-9646-7099
131/9590,
131/9596,
131/9628,
131/9638,
131/9875,
131/9880,
131/9886,
131/9898,
132/0144,
132/0150,
132/0317,
132/0356,
132/0674,
132/0889,
132/0915,
132/0928,
132/0956,
132/0959,
132/1071-2,0000-0002-0421-5792
132/1284,
132/1471,0000-0003-3593-5773
132/1486,
132/1565,
132/1565-1,0000-0003-3739-769X
132/1761,
132/1772,0000-0002-8525-9163
132/1788,
132/1869,
132/1904,
132/1905,
132/1997,0000-0001-6876-7919
132/2047-2,0000-0001-8004-0309
132/2133,
132/2136,0000-0002-7333-2765
132/2319,
132/2540,
132/2849,
132/3090,
132/3387,
132/3874,0000-0003-4984-1532
132/3921,0000-0003-3954-8009
132/3970,0000-0002-9116-4662
132/3980,
132/3985,
132/4043,
132/4066,
132/4210-3,
132/4311,0000-0003-1485-1853
132/4322,
132/4504,0000-0002-2444-2503
132/4587,
132/4661,
132/4758,
132/4829-1,0000-0002-6090-3899
132/4928,
132/4966-2,
132/4992,
132/5152,
132/5158,
132/5250,
132/5427,
132/5633-1,0000-0003-2598-5988
132/5757,
132/5821,
132/5837,0000-0001-9957-2778
132/5881,
132/5912,
132/6121,
132/6250,
132/6279,
132/6382,
132/6584-1,0000-0003-1260-906X
132/6591,
132/6654,
132/6745,
132/6759,
132/6759-3,0000-0002-4864-6420
132/6761,
132/6774,
132/6840,0000-0001-7392-4472
132/6960,
132/6964,
132/6971,0000-0002-5095-860X
132/7522,0000-0003-0405-2441
132/7569,0000-0002-5556-8977
132/7603,
132/7629-4,0000-0002-6903-2962
132/7630,0000-0003-3506-0583
132/7757,
132/7797,
132/7882,
132/7882-3,0000-0001-5374-6330
132/7882-8,
132/7943,
132/7973,
132/7979,
132/7981,
132/8026-1,0000-0002-0378-6438
132/8026-3,
132/8060,
132/8072,0000-0001-5756-9765
132/8078,
132/8501,
132/8502,0000-0003-0222-3761
132/8648,
132/8663,
132/8720,
132/8841,
132/8891,
132/8938,
132/8958,
132/8961,
132/8977,
132/8985,
132/9008,0000-0002-6524-3615
132/9009,
132/9010,
132/9032,0000-0002-2219-215X
132/9037,
132/9101,0000-0001-8427-054X
132/9130,
132/9161,
132/9204,0000-0001-7791-9443
132/9283,
132/9305,
132/9308,
132/9450,
132/9868,
132/9868-1,0000-0002-9886-9542
133/0183,0000-0002-6626-2463
133/0303,
133/0311,
133/0438,
133/0478,
133/0501,
133/0537,
133/0561,
133/0569,
133/0658,
133/0791,
133/1023,0000-0002-3636-5322
133/1147,0000-0002-8499-0130
133/1691,
133/1701,
133/1706,
133/1750,
133/1757,
